,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
110,2020/1/6,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,0,0,2020/1/6
111,2020/1/7,ä¸_,CN,,,,,41,0,0,0,2020/1/7
112,2020/1/7,ä¸_,CN,æ¹___,420000,,,41,0,0,0,2020/1/7
113,2020/1/7,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,0,0,2020/1/7
114,2020/1/8,ä¸_,CN,,,,,41,0,0,0,2020/1/8
115,2020/1/8,ä¸_,CN,æ¹___,420000,,,41,0,0,0,2020/1/8
116,2020/1/8,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,0,0,2020/1/8
117,2020/1/9,ä¸_,CN,,,,,41,0,0,0,2020/1/9
118,2020/1/9,ä¸_,CN,æ¹___,420000,,,41,0,0,0,2020/1/9
119,2020/1/9,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,0,0,2020/1/9
120,2020/1/10,ä¸_,CN,,,,,41,0,2,1,2020/1/10
121,2020/1/10,ä¸_,CN,æ¹___,420000,,,41,0,2,1,2020/1/10
122,2020/1/10,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,2,1,2020/1/10
123,2020/1/11,ä¸_,CN,,,,,41,0,6,1,2020/1/11
124,2020/1/11,ä¸_,CN,æ¹___,420000,,,41,0,6,1,2020/1/11
125,2020/1/11,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,6,1,2020/1/11
126,2020/1/12,ä¸_,CN,,,,,41,0,7,1,2020/1/12
127,2020/1/12,ä¸_,CN,æ¹___,420000,,,41,0,7,1,2020/1/12
128,2020/1/12,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,7,1,2020/1/12
129,2020/1/13,ä¸_,CN,,,,,41,0,7,1,2020/1/13
130,2020/1/13,ä¸_,CN,æ¹___,420000,,,41,0,7,1,2020/1/13
131,2020/1/13,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,7,1,2020/1/13
132,2020/1/14,ä¸_,CN,,,,,41,0,7,1,2020/1/14
133,2020/1/14,ä¸_,CN,æ¹___,420000,,,41,0,7,1,2020/1/14
134,2020/1/14,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,7,1,2020/1/14
135,2020/1/15,ä¸_,CN,,,,,41,0,12,2,2020/1/15
